r_bohr,r_angstrom,total_hartree,nuclear_repulsion_hartree,electronic_hartree,one_electron_hartree,two_electron_hartree,scf_iterations,n_ao,n_mo,minimum_overlap_eigenvalue,point_group,scf_seconds
0.6589997151616842,0.34872763110158456,-0.11798884696818301,1.5174513387379114,-1.6354401857060945,-1.6354401857060945,1.1102230246251565e-16,2,160,160,8.14690959611505e-08,d2h,0.2983463330001541
0.667110188832828,0.3530195089360929,-0.13158540667274354,1.4990027385874503,-1.6305881452601938,-1.630588145260194,2.220446049250313e-16,2,160,160,8.533641812131162e-08,d2h,0.2976977909984271
0.6753204801240055,0.3573642079803464,-0.14492152378597312,1.4807784295485535,-1.6256999533345267,-1.6256999533345267,0.0,2,160,160,8.949730911564597e-08,d2h,0.298537208000198
0.683631817515534,0.36176237831813274,-0.15800020330417297,1.4627756847746152,-1.6207758880787881,-1.6207758880787881,0.0,2,160,160,9.397701996991805e-08,d2h,0.2970463750007184
0.6920454446069441,0.36621467803398267,-0.1708244273789702,1.4449918105709991,-1.6158162379499692,-1.6158162379499692,-1.1102230246251565e-16,2,160,160,9.880275716313107e-08,d2h,0.2960119580002356
0.7005626203030557,0.37072177331163736,-0.1833971556767301,1.4274241459919896,-1.6108213016687198,-1.6108213016687196,-1.1102230246251565e-16,2,160,160,1.0400375316460522e-07,d2h,0.3466439999992872
0.7091846190023441,0.3752843385337271,-0.1957213257231245,1.410070062442647,-1.6057913881657715,-1.6057913881657715,0.0,2,160,160,1.0961133387390919e-07,d2h,0.300231667000844
0.7179127307876237,0.37990305638267735,-0.20779985323040306,1.3929269632854921,-1.6007268165158952,-1.6007268165158952,0.0,2,160,160,1.1565896929341008e-07,d2h,0.3138410000010481
0.7267482616190799,0.38457861794285614,-0.21963563240953388,1.375992283451987,-1.595627915861521,-1.5956279158615208,-2.220446049250313e-16,2,160,160,1.2218233721628473e-07,d2h,0.30312579199926404
0.7356925335296755,0.38931172280397913,-0.2312315362656845,1.359263489058725,-1.5904950253244095,-1.5904950253244095,0.0,2,160,160,1.292194062765105e-07,d2h,0.38386029200046323
0.7447468848229617,0.39410307916578663,-0.24259041687890975,1.3427380770282997,-1.5853284939072094,-1.5853284939072094,-5.551115123125783e-17,2,160,160,1.3681053211932732e-07,d2h,0.31059908299903327
0.7539126702733256,0.3989534039440099,-0.25371510566890665,1.3264135747147707,-1.5801286803836774,-1.5801286803836776,2.220446049250313e-16,2,160,160,1.449986274055883e-07,d2h,0.3068624159986939
