cutoff_bohr,fold,seed,scheme,n_train,n_test,best_standardized_mse,final_standardized_mse,best_step
2.0,2,29,A,152,37,2.665743795578602e-05,2.665743795578602e-05,40000
2.0,2,47,A,152,37,3.078890159118338e-05,3.078890159118338e-05,40000
2.0,2,71,A,152,37,2.327107400018262e-05,2.327107400018262e-05,40000
2.0,2,101,A,152,37,2.060005935851611e-05,2.060005935851611e-05,40000
2.0,2,11,B,152,37,2.4619256804495463e-06,2.4619256804495463e-06,40000
2.0,2,29,B,152,37,2.0069447148202476e-06,2.0069447148202476e-06,40000
2.0,2,47,B,152,37,3.4255837877004556e-06,3.4255837877004556e-06,40000
2.0,2,71,B,152,37,3.1081762100589607e-06,3.1081762100589607e-06,40000
2.0,2,101,B,152,37,2.6331342883943892e-06,2.6331342883943892e-06,40000
2.0,3,11,A,151,38,2.3696664340762792e-05,2.3696664340762792e-05,40000
2.0,3,29,A,151,38,2.6379848677404143e-05,2.6379848677404143e-05,40000
2.0,3,47,A,151,38,3.158307639854128e-05,3.158307639854128e-05,40000
2.0,3,71,A,151,38,2.5002847558929323e-05,2.5002847558929323e-05,40000
2.0,3,101,A,151,38,2.196149942555301e-05,2.196149942555301e-05,40000
2.0,3,11,B,151,38,2.5308047999484386e-06,2.5308047999484386e-06,40000
2.0,3,29,B,151,38,2.036329379215473e-06,2.036329379215473e-06,40000
2.0,3,47,B,151,38,3.605909576155729e-06,3.605909576155729e-06,40000
2.0,3,71,B,151,38,3.217878810026775e-06,3.217878810026775e-06,40000
2.0,3,101,B,151,38,2.7434873305576633e-06,2.7434873305576633e-06,40000
2.0,4,11,A,151,38,2.129595751286417e-05,2.129595751286417e-05,40000
2.0,4,29,A,151,38,2.462955174420024e-05,2.462955174420024e-05,40000
2.0,4,47,A,151,38,2.8326179336558115e-05,2.8326179336558115e-05,40000
2.0,4,71,A,151,38,2.250083252633303e-05,2.250083252633303e-05,40000
2.0,4,101,A,151,38,1.9649287417073544e-05,1.9649287417073544e-05,40000
2.0,4,11,B,151,38,2.419622600318837e-06,2.419622600318837e-06,40000
2.0,4,29,B,151,38,1.9891762963549787e-06,1.9891762963549787e-06,40000
2.0,4,47,B,151,38,3.431797981879988e-06,3.431797981879988e-06,40000
2.0,4,71,B,151,38,3.091564896114716e-06,3.091564896114716e-06,40000
2.0,4,101,B,151,38,2.60816248426367e-06,2.60816248426367e-06,40000
3.0,0,11,A,124,32,2.5044678851191867e-07,2.5044678851191867e-07,40000
3.0,0,29,A,124,32,1.697138217073533e-07,1.6972668668817676e-07,39997
3.0,0,47,A,124,32,9.206308768382341e-07,9.206308768382341e-07,40000
3.0,0,71,A,124,32,1.269796617336945e-06,1.269796617336945e-06,40000
3.0,0,101,A,124,32,9.208319634881945e-07,9.208319634881945e-07,40000
3.0,0,11,B,124,32,1.007355980266865e-06,1.007355980266865e-06,40000
3.0,0,29,B,124,32,6.570567496186885e-07,6.570567496186885e-07,40000
3.0,0,47,B,124,32,1.7174027434249716e-06,1.7174027434249716e-06,40000
