nm,benzene_b3lyp,benzene_camb3lyp,aniline_b3lyp,aniline_camb3lyp,nitrobenzene_b3lyp,nitrobenzene_camb3lyp,pNA_b3lyp,pNA_camb3lyp
349.5,9.04e-115,5.729e-121,6.956e-10,2.48e-14,0.0001764,4.686e-08,334.4,0.001892
350,4.067e-115,2.525e-121,5.362e-10,1.831e-14,0.0001457,3.778e-08,302.4,0.001554
350.5,1.832e-115,1.114e-121,4.131e-10,1.352e-14,0.0001203,3.044e-08,273.2,0.001276
351,8.26e-116,4.922e-122,3.181e-10,9.979e-15,9.924e-05,2.452e-08,246.6,0.001047
351.5,3.728e-116,2.177e-122,2.449e-10,7.362e-15,8.182e-05,1.974e-08,222.4,0.0008584
352,1.685e-116,9.639e-123,1.884e-10,5.431e-15,6.742e-05,1.588e-08,200.5,0.0007034
352.5,7.623e-117,4.273e-123,1.449e-10,4.005e-15,5.552e-05,1.277e-08,180.5,0.0005762
353,3.453e-117,1.897e-123,1.114e-10,2.952e-15,4.57e-05,1.026e-08,162.4,0.0004716
353.5,1.566e-117,8.429e-124,8.566e-11,2.176e-15,3.759e-05,8.245e-09,146,0.0003859
354,7.107e-118,3.75e-124,6.581e-11,1.603e-15,3.091e-05,6.62e-09,131.1,0.0003155
354.5,3.23e-118,1.67e-124,5.055e-11,1.181e-15,2.54e-05,5.313e-09,117.7,0.0002579
355,1.469e-118,7.449e-125,3.881e-11,8.699e-16,2.086e-05,4.262e-09,105.5,0.0002106
355.5,6.693e-119,3.326e-125,2.978e-11,6.406e-16,1.712e-05,3.417e-09,94.56,0.0001719
356,3.052e-119,1.487e-125,2.285e-11,4.716e-16,1.404e-05,2.739e-09,84.66,0.0001403
356.5,1.393e-119,6.654e-126,1.753e-11,3.471e-16,1.152e-05,2.194e-09,75.75,0.0001144
357,6.367e-120,2.981e-126,1.344e-11,2.554e-16,9.437e-06,1.756e-09,67.72,9.327e-05
357.5,2.913e-120,1.337e-126,1.03e-11,1.879e-16,7.73e-06,1.406e-09,60.49,7.599e-05
358,1.334e-120,6.006e-127,7.892e-12,1.382e-16,6.328e-06,1.124e-09,54,6.188e-05
358.5,6.118e-121,2.701e-127,6.045e-12,1.016e-16,5.179e-06,8.992e-10,48.17,5.037e-05
359,2.809e-121,1.216e-127,4.629e-12,7.472e-17,4.236e-06,7.187e-10,42.93,4.098e-05
359.5,1.291e-121,5.479e-128,3.544e-12,5.492e-17,3.463e-06,5.742e-10,38.24,3.332e-05
360,5.939e-122,2.472e-128,2.712e-12,4.037e-17,2.829e-06,4.585e-10,34.03,2.708e-05
360.5,2.735e-122,1.117e-128,2.075e-12,2.966e-17,2.311e-06,3.66e-10,30.27,2.2e-05
361,1.261e-122,5.052e-129,1.587e-12,2.179e-17,1.886e-06,2.921e-10,26.9,1.787e-05
361.5,5.823e-123,2.288e-129,1.213e-12,1.601e-17,1.539e-06,2.33e-10,23.9,1.45e-05
362,2.691e-123,1.037e-129,9.276e-13,1.176e-17,1.255e-06,1.858e-10,21.21,1.177e-05
362.5,1.245e-123,4.707e-130,7.089e-13,8.634e-18,1.024e-06,1.48e-10,18.81,9.542e-06
363,5.767e-124,2.139e-130,5.416e-13,6.339e-18,8.341e-07,1.18e-10,16.67,7.735e-06
363.5,2.674e-124,9.731e-131,4.137e-13,4.654e-18,6.794e-07,9.394e-11,14.77,6.268e-06
364,1.241e-124,4.432e-131,3.159e-13,3.416e-18,5.532e-07,7.478e-11,13.07,5.076e-06
364.5,5.77e-125,2.021e-131,2.412e-13,2.507e-18,4.502e-07,5.952e-11,11.56,4.11e-06
365,2.684e-125,9.228e-132,1.841e-13,1.84e-18,3.662e-07,4.735e-11,10.22,3.326e-06
365.5,1.25e-125,4.218e-132,1.405e-13,1.35e-18,2.978e-07,3.765e-11,9.032,2.691e-06
366,5.83e-126,1.93e-132,1.071e-13,9.902e-19,2.421e-07,2.993e-11,7.974,2.176e-06
366.5,2.722e-126,8.842e-133,8.172e-14,7.263e-19,1.967e-07,2.379e-11,7.036,1.759e-06
367,1.272e-126,4.056e-133,6.232e-14,5.327e-19,1.598e-07,1.89e-11,6.204,1.421e-06
367.5,5.951e-127,1.862e-133,4.751e-14,3.907e-19,1.297e-07,1.501e-11,5.467,1.148e-06
368,2.787e-127,8.562e-134,3.621e-14,2.865e-19,1.053e-07,1.192e-11,4.815,9.268e-07
